Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD DE LITUECHE,Cardenal Caro 796,Litueche,Región del Libertador General Bernardo O´Higgins,"-34.116684250000006,-71.7291245981032",PAPEL OFICIO : 1743-428-CM24,Septiembre/2024,954380
I MUNICIPALIDAD DE MAULE,Balmaceda N° 485,Maule,Región del Maule ,"-35.5243911,-71.6919823",COMPRA RESMAS CARTA Y OFICIO DEPTO. EDUCACIÓN,Septiembre/2024,1298380
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",N/P Nº 400 DIDECO - RESMAS PAPEL CARTA CASA DE LA JUVENTUD Orden de Compra generada por invitación a compra ágil: 2291-1453-COT24,Septiembre/2024,59905
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",N/P Nº 44 DEPTO. ALUMBRADO PUBLICO - RESMAS DE PAPEL CARTA Y OFICIO  rden de Compra generada por invitación a compra ágil: 2291-1469-COT24,Septiembre/2024,151820
I MUNICIPALIDAD DE TALCA,,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",N/P Nº 40 DEPTO. PERSONAL - RESMAS DE PAPEL OFICIO Y CARTA Orden de Compra generada por invitación a compra ágil: 2291-1467-COT24,Septiembre/2024,222649
I MUNICIPALIDAD DE TOME,,Tomé,Región del Biobío ,"-36.617159,-72.958481","Adquisición de resmas de papel fotocopia tamaño carta para el Liceo Vicente Palacios, Tomé. Orden de Compra generada por invitación a compra ágil: 2665-638-COT24",Septiembre/2024,299523
I MUNICIPALIDAD DE TOME,"Ignacio Serrano 1055, 2° Piso.",Tomé,Región del Biobío ,"-36.617159,-72.958481",Adquisición de resmas de papel fotocopia tamaños carta y oficio para el CEBAt de Tomé. Orden de Compra: 2665-1096-CM24,Septiembre/2024,972706
ILUSTRE MUNICIPALIDAD DE MOLINA ,YERBAS BUENAS 1389,Molina,Región del Maule ,"-35.1132184,-71.2800644","ORDEN DE COMPRA DESDE 2298-67-LE23 - SUMINISTRO PARA EL MANTENIMIENTO DE PERIFERICOS DE IMPRESION, PROVISIÓN DE INSUMOS Y SERVICIO DE IMPRESION Y FOTOCOPIADO MES AGOSTO",Septiembre/2024,4551036
Ilustre Municipalidad de Tolten,,Toltén,Región de la Araucanía ,"-39.1789741,-73.1655554",RESMAS PAPEL DE COLORES,Septiembre/2024,166600
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Copiapó,Región de Atacama ,"0,0",ADQUISICION MATERIAL DE OFICINA (RESMA OFICIO) INCLUIR FLETE-D.ARQUITECTURA ATACAMA,Septiembre/2024,84204
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ. (STOCK P2)_5153-1690-COT24,Septiembre/2024,1676948
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",DBV-120268.PAPEL IMPRESION SONY UPP-110HG P/ECOGRAFO 800-9976-COT24/OCI 188965,Septiembre/2024,1902810
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ. (STOCK)P3_5153-1602-COT24,Septiembre/2024,1467330
COMANDO DE APOYO A LA FUERZA,,Concepción,Región del Biobío ,"0,0",SUMINISTRO DE IMPRESIONES Y FOTOCOPIAS ZBC,Septiembre/2024,714000
COMANDO DE APOYO A LA FUERZA,,Concepción,Región del Biobío ,"0,0",SUMINISTRO DE IMPRESIONES Y FOTOCOPIAS IRS,Septiembre/2024,238000
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Melipilla,Región Metropolitana de Santiago,"0,0",Orden de Compra por compra papel oficio generada por invitación a compra ágil: 730920-25-COT24,Septiembre/2024,295120
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51340/SEP/RESMAS DE PAPEL TAMAÑO OFICIO/LICEO NACIONAL DE MAIPU/BOS,Septiembre/2024,6602739
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0", SC-51732/OPERACIONAL/RESMAS CARTA Y OFICIO/DEPARTAMENTON DE OPERACIONAES Y APOYO LOGISTICO/BOS,Septiembre/2024,195576
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51474/SEP/RESMAS CARTA Y OFICIO/ESCUELA TOMAS VARGAS Y ARCAYA/BOS,Septiembre/2024,708050
Corporación de Asistencia Judicial RM,"Of. de Partes Agustinas Nº1419, Santiago Centro ",Santiago,Región Metropolitana de Santiago,"-33.49307465,-70.60432208538705",resmas carta y oficio Centros DRM.Norte,Septiembre/2024,3753837
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,"CALLE GENERAL DEL CANTO N° 464, PLAYA ANCHA",Valparaíso,Región de Valparaíso ,"0,0",RESMAS PAPEL OFICIO ,Septiembre/2024,873698
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,,Viña del Mar,Región de Valparaíso ,"0,0",PAPEL FOTOCOPIA CARTA Y OFICIO,Septiembre/2024,1892100
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,AV. ALESANDRI S/N (INTERIOR RECINTO HOSPITAL NAVAL),Viña del Mar,Región de Valparaíso ,"0,0",PAPEL FOTOCOPIA TAMAÑO CARTA,Septiembre/2024,2713200
HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,Sin dirección Registrada para Unidad de Compra,Padre Las Casas,Región de la Araucanía ,"-38.76739775,-72.61636680788058",SERVICIO DE FOTOCOPIAS E IMPRESIONES PARA CAPLC MES DE JULIO 2024,Septiembre/2024,9486312
HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,Sin dirección Registrada para Unidad de Compra,Padre Las Casas,Región de la Araucanía ,"-38.76739775,-72.61636680788058",SERVICIO DE FOTOCOPIAS E IMPRESIONES PARA CAPLC MES DE AGOSTO 2024,Septiembre/2024,11676737
HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,Sin dirección Registrada para Unidad de Compra,Padre Las Casas,Región de la Araucanía ,"-38.76739775,-72.61636680788058",SERVICIO DE FOTOCOPIAS E IMPRESIONES PARA DISPOSITIVOS DE SALUD MENTAL DEL CAPLC. MES DE JULIO 2024,Septiembre/2024,746170
HOSPITAL COMPLEJO ASISTENCIAL PADRE LAS CASAS,Sin dirección Registrada para Unidad de Compra,Padre Las Casas,Región de la Araucanía ,"-38.76739775,-72.61636680788058",SERVICIO DE FOTOCOPIAS E IMPRESIONES PARA DISPOSITIVOS DE SALUD MENTAL DEL CAPLC. MES DE AGOSTO 2024,Septiembre/2024,1000805
I MUNICIPALIDAD DE CABRERO,Las Delicias nº 355,Cabrero,Región del Biobío ,"-37.0381777,-72.40435503923746",Resmas de Oficio y carta OP Nº28,Septiembre/2024,1804635
I MUNICIPALIDAD DE CABRERO,Las Delicias 355 - Región del Biobío - Cabrero,Alto Bio Bio,Región del Biobío ,"-37.0381777,-72.40435503923746",Resma Tamaño Oficio y Carta según OP 617,Septiembre/2024,491857
I MUNICIPALIDAD DE CANETE,,Cañete,Región del Biobío ,"-37.79972,-73.3991188",ADQUISICION DE RESMAS DE PAPEL PARA LICEO ALONSO DE ERCILLA-FONDOS SEP 90%,Septiembre/2024,431643
I MUNICIPALIDAD DE COLTAUCO,"Departamento de Educación Municipal, Avenida Bernardo O’Higgins # 254",Coltauco,Región del Libertador General Bernardo O´Higgins,"-34.2878709,-71.0835889",Resma Papel Oficio F-83,Septiembre/2024,579720
I MUNICIPALIDAD DE CURICO,San Martín Nº 455,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",85081 RESMAS DE PAPEL CARTA Y OFICIO ESCUELA ESPAÑA DE CURICÓ ,Septiembre/2024,1901858
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",  83743 RESMA PAPEL CARTA Y OFICIO ESCUELA PADRE ALBERTO HURTADO DE CURICÒ   por invitación a compra ágil: 2440-1433-COT24,Septiembre/2024,253524
I MUNICIPALIDAD DE FREIRE,Pedro Camalez Nº85,Freire,Región de la Araucanía ,"-38.9514958,-72.6272562","RESMAS DE PAPEL PARA ESCUELA JUAN SEGUEL, FONDOS SEP",Septiembre/2024,836094
I MUNICIPALIDAD DE HUALQUI,FREIRE N°351,Hualqui,Región del Biobío ,"-36.97530075,-72.93833724820985",RESMA DE PAPEL - GESTIÓN INTERNA,Septiembre/2024,1375164
I MUNICIPALIDAD DE LA CISTERNA,,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722",Resmas papel Colegio E.JOVEN compra ágil: 2769-390-COT24,Septiembre/2024,1343129
I MUNICIPALIDAD DE LA COMUNA DE EL BOSQUE,JAVIERA CARRERA 736,* ,Región Metropolitana de Santiago,"-33.5566265,-70.66570109640884",PAGO SERV. DE IMPRESIÓN Y FOTOCOPIADO.,Septiembre/2024,7050938
I MUNICIPALIDAD DE LLANQUIHUE,,Llanquihue,Región de los Lagos ,"-41.2565319,-73.0056137",ADQUISICION DE PAPEL PARA IMPRESION REQUERIDO POR EL DEPARTAMENTO DE ADQUISICIONES. Orden de Compra generada por invitación a compra ágil: 1437-1131-COT24,Septiembre/2024,1098810
I MUNICIPALIDAD DE LONCOCHE,,Loncoche,Región de la Araucanía ,"-39.371356,-72.6306051","RESMAS DE HOJAS TAMAÑO OFICIO, PARA DEPARTAMENTO DE EDUCACIÓN MUNICIPAL",Septiembre/2024,378301
I MUNICIPALIDAD DE NEGRETE,10 De Julio 298,Negrete,Región del Biobío ,"-37.5852762,-72.5283067",RESMAS PAPEL MULTIPROPOSITO ESCUELA VILLA COIGUE,Septiembre/2024,777070
I MUNICIPALIDAD DE PADRE LAS CASAS,"Tomás Guevara 460, Padre Las Casas SANTIAGO",Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",Adquisición de resma carta y oficio Programa Calificación y Tratamiento de asistencia social a personas naturales y otros.,Septiembre/2024,947478
I MUNICIPALIDAD DE SAN JAVIER,Arturo Prat  N° 2490,San Javier,Región del Maule ,"-35.5953791,-71.73159","Adquisición papel para fotocopiadora Escuela E-414 “Manuel de Salas”, San Javier, según solicitud de compra N°118 de fecha 19.08.24.-Orden de Compra: 2321-450-CM24",Septiembre/2024,939481
I MUNICIPALIDAD DE SAN NICOLAS,ARTURO PRAT 175,* ,Región del Ñuble,"-36.5031992,-72.2132577",RESMAS PARA FOTOCOPIADORAS DEL LICEO POLIVALENTE SAN NICOLÁS,Septiembre/2024,3125535
I MUNICIPALIDAD DE SAN VICENTE,,San Vicente de Tagua Tagua,Región del Libertador General Bernardo O´Higgins,"-34.4392721,-71.07616568514135","ADQUISICION DE PAPEL FOTOCOPIA TAMAÑO OFICIO Y CARTA, SEGUN compra ágil: 1050283-463-COT24",Septiembre/2024,1557770
I MUNICIPALIDAD DE SANTIAGO,TEATINOS 950 PISO 15 DEM,Santiago,Región Metropolitana de Santiago,"-33.43693155,-70.65024209010855",MND// RESMAS DE OFICIO// JAVIERA CARRERA,Septiembre/2024,1432641
I MUNICIPALIDAD DE SANTIAGO,,Santiago,Región Metropolitana de Santiago,"-33.43693155,-70.65024209010855",OFC//PAPEL TAMAÑO CARTA//ELIODORO GARCIA ZEGERS//2451-541-COT24,Septiembre/2024,1236648
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","3.SP 98445 DAEM GESTION, ADQ. RESMAS TAMAÑO CARTA PARA LA UNIDAD DE REMUNERACIONES DAEM",Septiembre/2024,95795
ILUSTRE MUNICIPALIDAD DE ALTO DEL CARMEN,,Alto Del Carmen,Región de Atacama ,"-28.7598561,-70.4865589367034",RESMA CARTA,Septiembre/2024,92784
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",SERVICIO DE IMPRESIÓN Y FOTOCOPIADO ESTABLECIMIENTOS Y DAEM,Septiembre/2024,2756497
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Morandé 59, 12° piso Oficina 1212 - Santiago Centro",Santiago,Región Metropolitana de Santiago,"0,0",Adquisición de resmas de papel reciclado con sellos ambientales,Septiembre/2024,670565
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Talca,Región del Maule ,"0,0", resmas de papel E1O2RT9 para la DA Maule desde compra ágil: 824-28-COT24,Septiembre/2024,262954
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Bulnes 897, pisos 9 y 10",Temuco,Región de la Araucanía ,"0,0",SERVICIO DE FOTOCOPIADO E IMPRESIÓN TECNODATA S.A. ,Septiembre/2024,51754
MUNICIPALIDAD DE LOS ANDES,Avda. Chile 198,Los Andes,Región de Valparaíso ,"-24.215883,-66.322673",RESMAS PAPEL- ESCUELA GABRIELA MISTRAL ORD. 54,Septiembre/2024,1298052
MUNICIPALIDAD DE OVALLE,Ariztia Poniente N°7,Ovalle,Región de Coquimbo ,"-30.6034109,-71.20396847907544",SERVICIO DE FOTOCOPIADO E IMPRESION,Septiembre/2024,69500000
SERVICIO DE SALUD COQUIMBO HOSPITAL LA SERENA,Bienes y Servicios,La Serena,Región de Coquimbo ,"-27.48322,-58.8244122",PAPEL  FOTOCOPIA CARTA Y OFICIO 1057439-5533-CM24,Septiembre/2024,4309650
SERVICIO DE SALUD DEL LIBERTADOR B O'HIGGINS HOSPITAL REG RANCAGUA,Avenida Salvador Allende Nº 350,Rancagua,Región del Libertador General Bernardo O´Higgins,"-23.6283043,-70.3879018",PAPEL CARTA Y OFICIO,Septiembre/2024,5675015
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"0,0",amv/ PAPEL FOTOCOPIA CARTA PAQUETE 500 HOJAS Orden de Compra: 1641-12496-CM24,Septiembre/2024,862452
SERVICIO DE VIVIENDA Y URBANIZACION III REGION,"CHACABUCO 520, PISO 3",Copiapó,Región de Atacama ,"10.4162576,-75.464294",adq de resmas oficio y carta,Septiembre/2024,902865
SERVICIO NACIONAL DE SALUD HOSPITAL DE RIO NEGRO,Arturo Prat 791 ,Río Negro,Región de los Lagos ,"-34.17135857324988,-70.64791447102725",ART ESC - Resmas Carta HRN 2024 - PRISA DEL SUR,Septiembre/2024,702100
SERVICIO SALUD DEL RELONCAVI,,Frutillar,Región de los Lagos ,"-41.4692075,-72.9295494",RESMAS CARTA Y OFICIO,Septiembre/2024,235025
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ SOBRE CARTA Y OFICIO (STOCK)_5153-2055-COT24,Septiembre/2024,1909950
UNIVERSIDAD DE CHILE,Diagonal Paraguay 257,* ,Región Metropolitana de Santiago,"-33.443867,-70.6506654","RE.577.23L2 Servicio de folletería, papelería e impresión",Septiembre/2024,164220
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ PAPEL PARA IMPRESORA AUTOCLAVE GETINGE_5153-2127-COT24,Septiembre/2024,267512
UNIVERSIDAD DE TARAPACA,Santos Leiva 070,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052",RESMA PAPEL CARTA ,Septiembre/2024,2497572
AGENCIA DE PROMOCION DE LA INVERSION EXTRANJERA,,Santiago,Región Metropolitana de Santiago,"0,0",Compra Resmas tamaño carta,Octubre/2024,157080
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0", SC-51629/JUNJI/RESMAS CARTA Y OFICIO/UNIDAD DE PRIMERA INFANCIA/BOS,Octubre/2024,514500
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51615/SEP/RESMAS CARTA Y OFICIO/COLEGIO ALCAZAR/JFM.,Octubre/2024,827883
DIRECCION GENERAL DE GENDARMERIA DE CHIL,,Arica,Región de Arica y Parinacota,"0,0",CET CERRADO C.P. ARICA COMPRA ARTICULOS DE ESCRITORIO Y RESMAS DE HOJA DE OFICIO,Octubre/2024,258501
I MUNICIPALIDAD DE TEMUCO,Prat  0130  Temuco,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","S233. ADQ DE RESMAS HOJA DE PAPEL TAMAÑO CARTA Y OFICIO, PARA DPTO DE EDUCACION, MEMO N° 10..Orden de Compra: 5060-816-CM24",Octubre/2024,1794698
I MUNICIPALIDAD DE TEMUCO,Prat  0130  Temuco,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","S607 SEP ADQ. DE RESMAS CARTA  Y OFICIO, COLEGIO ALONSO DE ERCILLA (ORD N°190)",Octubre/2024,2819288
I MUNICIPALIDAD DE VITACURA,,Vitacura,Región Metropolitana de Santiago,"-33.3988411,-70.6013636","PTR N°678. AG. ID: 2659-420-COT24.  -SERVICIO DE IMPRESIÓN DE 100 GRAFICAS DE 28X43 CM., IMPRESIÓN FULL COLOR EN PAPEL TEXTURADO 300 GRAMOS.",Octubre/2024,95200
Ilustre Municipalidad de El Carmen,,El Carmen,Región del Ñuble,"-36.8971258,-72.0269144",PAPEL IMPRESIÓN EQUALIT RESMA CARTA PARA LICEO JUVENAL HERNANDEZ JAQUE DE ACUERDO  A REQ. N° 960201-125(743),Octubre/2024,823688
SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL,Gran Avenida Jose Miguel Carrera Nº3300,San Miguel,Región Metropolitana de Santiago,"0,0",Resmas tamaño carta y oficio,Octubre/2024,805249
SUBSECRETARIA DEL MEDIO AMBIENTE,Avenida Alameda Libertador Bernardo O`Higgins 1449,* ,Región Metropolitana de Santiago,"-34.21514109795102,-71.30413833484958",Servicio impresiones y fotocopias TOPAC,Octubre/2024,25246
I MUNICIPALIDAD DE FREIRE,Pedro Camalez Nº85,Freire,Región de la Araucanía ,"-38.9514958,-72.6272562","PAPEL CARTA Y OFICIO PARA OFICINAS DAEM, FONDOS DAEM",Octubre/2024,1523200
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Santiago,Región Metropolitana de Santiago,"0,0",Adquisición de resmas de oficio por compra ágil: 766184-43-COT24,Octubre/2024,371280
I MUNICIPALIDAD VALDIVIA,PRO-RETENCIÓN - ESCUELA MULATO GIL DE CASTRO- AV. ARGENTINA  N°3663 ,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","11, SP.98010 SEP. LICEO INDUSTRIAL. ADQUISICIÓN DE PAPEL MULTIUSO PARA SISTEMA DE FOTOCOPIADO DE MATERIAL PEDAGÓGICO DESDE 2280-231-L124",Octubre/2024,4919460
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,San Martin N°800,Arica,Región de Arica y Parinacota,"-33.438788,-70.66147054127686","Compra de resma carta y oficio para oficinas regionales del SRCeI, Region XV. Orden de Compra: 5687-69-CM24",Octubre/2024,1984825
SERVICIO DE REGISTRO CIVIL E IDENTIFICACION,San Martin N°800,Arica,Región de Arica y Parinacota,"-33.438788,-70.66147054127686","Compra de resmas cartas y oficio para of. SO Arcia del SRCeI, Region XV, Orden de Compra: 5687-71-CM24",Octubre/2024,677705
I MUNICIPALIDAD DE CONCON,,Concón,Región de Valparaíso ,"-32.9207636,-71.5155884",RESMAS DE PAPEL  VINCULO ACOMPAÑAMIENTO Orden de Compra generada por invitación a compra ágil: 2594-1026-COT24,Octubre/2024,40460
I MUNICIPALIDAD DE MULCHEN,VILLALON 555,Mulchén,Región del Biobío ,"-37.718427,-72.2457477",RESMAS DE PAPEL CARTA Y OFICIO PARA ESCUELA VILLA LA GRANJA ,Octubre/2024,2296581
I MUNICIPALIDAD DE PALENA,,Palena,Región de los Lagos ,"-43.6172995,-71.8042914",Papel Fotocopia - Centro de las Mujeres Palena,Octubre/2024,107695
I MUNICIPALIDAD DE SALAMANCA,,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001", 200 RESMAS TAMAÑO OFICIO DESAM compra ágil: 3688-340-COT24,Octubre/2024,833000
I MUNICIPALIDAD DE TIRUA,,Tirúa,Región del Biobío ,"-38.3443313,-73.4939796",Adq.Resmas Papel para Esc.F865 fndo Proret24,Octubre/2024,674183
I MUNICIPALIDAD DE TOME,Ignacio Serrano   1061,Tomé,Región del Biobío ,"-36.617159,-72.958481",RESMA  CARTA CESFAM DR. ALBERTO REYES mcp,Octubre/2024,713524
I MUNICIPALIDAD DE YUMBEL,,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",ADQUISICION DE RESMAS TAMAÑO OFICIO Y CARTA PARA ESCUELA HEROES DE CHILE,Octubre/2024,970921
I MUNICIPALIDAD SAN JOAQUIN,Avenida Santa Rosa Nº 2606 ,San Joaquín,Región Metropolitana de Santiago,"-33.4791679,-70.64129747160456","AUMENTO DE SERVICIO FOTOCOPIADO, IMPRESIÓN Y SCANNER PARA CLINICA VETERINARIA ",Octubre/2024,578880
I MUNICIPALIDAD VALDIVIA,INDEPENDENCIA 455,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219",COMPRA DE RESMAS DE PAPEL PARA STOCK BODEGA ADQUISICIONES,Octubre/2024,3219426
INSTITUTO PSIQUIATRICO DR JOSE HORWITZ BARAK,Avenida La Paz #841,Recoleta,Región Metropolitana de Santiago,"-33.422949149999994,-70.64958161886723",PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO (MP),Octubre/2024,2154186
MINISTERIO PUBLICO,General Mackenna 1369 2º piso,Santiago Centro,Región Metropolitana de Santiago,"-12.04537295,-76.96950411388548",COMPRA RESMAS DE HOJAS CARTA,Octubre/2024,3213000
SERVICIO DE SALUD OCCIDENTE HOSPITAL SAN JUAN DE DIOS,HUERFANOS 3255 ,Santiago,Región Metropolitana de Santiago,"-33.44309285,-70.6790567997322",amv/ PAPEL FOTOCOPIA Orden de Compra: 1641-13697-CM24,Octubre/2024,1321078
SERVICIO SALUD ARAUCANIA SUR HOSPIT DR EDUARDO GONZALEZ GALENO CUNCO,"Av. Santa María 31, Cunco",Cunco,Región de la Araucanía ,"-38.9308932,-72.03759384425837",SERVICIO DE IMPRESIÓN Y FOTOCOPIADO SEPTIEMBRE,Octubre/2024,725474
UNIVERSIDAD DE CHILE,Diagonal Paraguay 257,* ,Región Metropolitana de Santiago,"-33.443867,-70.6506654",RE.577.23VP Servicio de impresión revistas y papelería corporativa y otros,Octubre/2024,2112250
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-50463/SEP/RESMAS TAMAÑO CARTA Y OFICIO/LICEO SANTIAGO BUERAS Y AVARIA/BOS,Octubre/2024,694068
FONDO NACIONAL DE SALUD,BLANCO  N°1131 OFICINA 21 ,Valparaíso,Región de Valparaíso ,"-34.9848391,-71.2385286",Compra Resmas Carta Cuarto Trimestre,Octubre/2024,2749233
I MUNICIPALIDAD DE CURANILAHUE,,Curanilahue,Región del Biobío ,"-37.47802385,-73.34371280155563","ADQUISICION DE RESMAS DE PAPEL CARTA Y OFICIO PARA ESCUELA F-769 GABRIELA MISTRAL, FONDOS SEP",Octubre/2024,282554
I MUNICIPALIDAD DE CURANILAHUE,Cardenio Avello 720,Curanilahue,Región del Biobío ,"-37.47802385,-73.34371280155563","ADQUISICION DE RESMAS DE PAPEL PARA LICEO MARIANO LATORRE, FONDOS SEP",Octubre/2024,1746444
I MUNICIPALIDAD DE MAULE,,Maule,Región del Maule ,"-35.5243911,-71.6919823",RESMAS DE PAPEL PARA COMPLEJO EDUCACIONAL MAULE,Octubre/2024,1208802
I MUNICIPALIDAD DE RENAICO,,Renaico,Región de la Araucanía ,"-37.67150815,-72.58412355846157","PAPEL FOTOCOPIA IMPRESIÓN, LICEO D.S.M.",Octubre/2024,1104142
I MUNICIPALIDAD DE TALCA,4 Norte	Nº 944,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",RESMAS DE OFICIO PARA BODEGA DE INSUMOS -Orden de Compra: 2292-1589-CM24,Octubre/2024,2017050
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",SM 764. RESMAS TIPO CARTA. D-277 COT 1195999-727-COT24,Octubre/2024,846209
I MUNICIPALIDAD VALDIVIA,"(BODEGA ADQUISICIONES) Avenida Pedro Aguirre Cerda Nº 231, Las Animas",Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219",RESMAS DE CARTA Y OFICIO PARA EL AREA DE SALUD — SOLICITUD Nº 3143,Octubre/2024,2464728
UNIVERSIDAD DE TARAPACA,Av La Tirana 4802,Iquique,Región de Tarapacá  ,"-18.4901565,-70.2961677979052","RESMAS PAPEL FOTOCOPIA DECSO IQUIQUE, O/C 2024100731",Octubre/2024,50575
I MUNICIPALIDAD DE COLTAUCO,"Departamento de Educación Municipal, Avenida Bernardo O’Higgins # 254",Coltauco,Región del Libertador General Bernardo O´Higgins,"-34.2878709,-71.0835889",PAPEL DE IMPRESIÓN LO DE CUEVAS ,Octubre/2024,2558273
I MUNICIPALIDAD DE INDEPENDENCIA,INDEPENDENCIA 753,Independencia,Región Metropolitana de Santiago,"-33.4223596,-70.6550988",200 RESMAS T.OFICIO  - 200 RESMA T. CARTA,Octubre/2024,1601264
I MUNICIPALIDAD DE LA CISTERNA,Gran  Avenida José Miguel Carrera  Nº 8585,La Cisterna,Región Metropolitana de Santiago,"-33.53472265,-70.66443006783722","RESMAS DE PAPEL, Orden de Compra: 2765-1140-CM24",Octubre/2024,2934242
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",PAPEL FOTOCOPIA/ESC. REBECA CASTRO A.,Octubre/2024,352240
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",RESMAS DE PAPEL OFICIO Y CARTA PARA USO ESTUDIANTES DEL TÉCNICO BICENTENARIO LOS ÁNGELES,Octubre/2024,5140086
I MUNICIPALIDAD DE NOGALES,,Nogales,Región de Valparaíso ,"-32.7341157,-71.2012525",ADQUISICION ARTICULOS DE PAPELERIA/IMPRESION PROGRAMA MAIS DESAM NOGALES. Orden de Compra generada por invitación a compra ágil: 3632-163-COT24,Octubre/2024,853349
I MUNICIPALIDAD DE PROVIDENCIA,Pedro Valdivia N°963 ,Providencia,Región Metropolitana de Santiago,"-33.4322118,-70.609894",Adquisición de papel fotocopia para unidades municipales septiembre-octubre,Octubre/2024,5567772
I MUNICIPALIDAD DE QUILLOTA,,Quillota,Región de Valparaíso ,"-32.8791368,-71.24676965340782",PAPEL DE IMPRESION ESCUELA ABEL GUERRERO,Octubre/2024,862393
I MUNICIPALIDAD DE TEMUCO,Arturo Prat 650.,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",Orden de Compra: 1658-3355-CM24 SOLIC. 909 RESMAS PAPEL,Octubre/2024,6570868
